filename,property,depth,filetype,scalar,description,units
ecec_30_cm_h.tif,ecec,30_cm,95% high prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_30_cm_l.tif,ecec,30_cm,95% low prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_30_cm_p.tif,ecec,30_cm,prediction,10,Effective cation exchange capacity,meq/100g
ecec_30_cm_rpi.tif,ecec,30_cm,relative prediction interval,100,Effective cation exchange capacity,meq/100g
ecec_5_cm_h.tif,ecec,5_cm,95% high prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_5_cm_l.tif,ecec,5_cm,95% low prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_5_cm_p.tif,ecec,5_cm,prediction,10,Effective cation exchange capacity,meq/100g
ecec_5_cm_rpi.tif,ecec,5_cm,relative prediction interval,100,Effective cation exchange capacity,meq/100g
ecec_60_cm_h.tif,ecec,60_cm,95% high prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_60_cm_l.tif,ecec,60_cm,95% low prediction interval,10,Effective cation exchange capacity,meq/100g
ecec_60_cm_p.tif,ecec,60_cm,prediction,10,Effective cation exchange capacity,meq/100g
ecec_60_cm_rpi.tif,ecec,60_cm,relative prediction interval,100,Effective cation exchange capacity,meq/100g
fragvol_0_cm_h.tif,fragvol,0_cm,95% high prediction interval,1,Rock (>2mm) content,percent volume
fragvol_0_cm_l.tif,fragvol,0_cm,95% low prediction interval,1,Rock (>2mm) content,percent volume
fragvol_0_cm_p.tif,fragvol,0_cm,prediction,1,Rock (>2mm) content,percent volume
fragvol_0_cm_rpi.tif,fragvol,0_cm,relative prediction interval,100,Rock (>2mm) content,percent volume
fragvol_100_cm_h.tif,fragvol,100_cm,95% high prediction interval,1,Rock (>2mm) content,percent volume
fragvol_100_cm_l.tif,fragvol,100_cm,95% low prediction interval,1,Rock (>2mm) content,percent volume
fragvol_100_cm_p.tif,fragvol,100_cm,prediction,1,Rock (>2mm) content,percent volume
fragvol_100_cm_rpi.tif,fragvol,100_cm,relative prediction interval,100,Rock (>2mm) content,percent volume
fragvol_15_cm_h.tif,fragvol,15_cm,95% high prediction interval,1,Rock (>2mm) content,percent volume
fragvol_15_cm_l.tif,fragvol,15_cm,95% low prediction interval,1,Rock (>2mm) content,percent volume
fragvol_15_cm_p.tif,fragvol,15_cm,prediction,1,Rock (>2mm) content,percent volume
fragvol_15_cm_rpi.tif,fragvol,15_cm,relative prediction interval,100,Rock (>2mm) content,percent volume
fragvol_150_cm_h.tif,fragvol,150_cm,95% high prediction interval,1,Rock (>2mm) content,percent volume
fragvol_150_cm_l.tif,fragvol,150_cm,95% low prediction interval,1,Rock (>2mm) content,percent volume
fragvol_150_cm_p.tif,fragvol,150_cm,prediction,1,Rock (>2mm) content,percent volume
fragvol_150_cm_rpi.tif,fragvol,150_cm,relative prediction interval,100,Rock (>2mm) content,percent volume
fragvol_30_cm_h.tif,fragvol,30_cm,95% high prediction interval,1,Rock (>2mm) content,percent volume
fragvol_30_cm_l.tif,fragvol,30_cm,95% low prediction interval,1,Rock (>2mm) content,percent volume
fragvol_30_cm_p.tif,fragvol,30_cm,prediction,1,Rock (>2mm) content,percent volume
fragvol_30_cm_rpi.tif,fragvol,30_cm,relative prediction interval,100,Rock (>2mm) content,percent volume
fragvol_5_cm_h.tif,fragvol,5_cm,95% high prediction interval,1,Rock (>2mm) content,percent volume
fragvol_5_cm_l.tif,fragvol,5_cm,95% low prediction interval,1,Rock (>2mm) content,percent volume
fragvol_5_cm_p.tif,fragvol,5_cm,prediction,1,Rock (>2mm) content,percent volume
fragvol_5_cm_rpi.tif,fragvol,5_cm,relative prediction interval,100,Rock (>2mm) content,percent volume
fragvol_60_cm_h.tif,fragvol,60_cm,95% high prediction interval,1,Rock (>2mm) content,percent volume
fragvol_60_cm_l.tif,fragvol,60_cm,95% low prediction interval,1,Rock (>2mm) content,percent volume
fragvol_60_cm_p.tif,fragvol,60_cm,prediction,1,Rock (>2mm) content,percent volume
fragvol_60_cm_rpi.tif,fragvol,60_cm,relative prediction interval,100,Rock (>2mm) content,percent volume
gypsum_0_cm_h.tif,gypsum,0_cm,95% high prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_0_cm_l.tif,gypsum,0_cm,95% low prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_0_cm_p.tif,gypsum,0_cm,prediction,10,Gypsum (in <20 mm fraction),percent mass
gypsum_0_cm_rpi.tif,gypsum,0_cm,relative prediction interval,100,Gypsum (in <20 mm fraction),percent mass
gypsum_100_cm_h.tif,gypsum,100_cm,95% high prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_100_cm_l.tif,gypsum,100_cm,95% low prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_100_cm_p.tif,gypsum,100_cm,prediction,10,Gypsum (in <20 mm fraction),percent mass
gypsum_100_cm_rpi.tif,gypsum,100_cm,relative prediction interval,100,Gypsum (in <20 mm fraction),percent mass
gypsum_15_cm_h.tif,gypsum,15_cm,95% high prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_15_cm_l.tif,gypsum,15_cm,95% low prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_15_cm_p.tif,gypsum,15_cm,prediction,10,Gypsum (in <20 mm fraction),percent mass
gypsum_15_cm_rpi.tif,gypsum,15_cm,relative prediction interval,100,Gypsum (in <20 mm fraction),percent mass
gypsum_150_cm_h.tif,gypsum,150_cm,95% high prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_150_cm_l.tif,gypsum,150_cm,95% low prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_150_cm_p.tif,gypsum,150_cm,prediction,10,Gypsum (in <20 mm fraction),percent mass
gypsum_150_cm_rpi.tif,gypsum,150_cm,relative prediction interval,100,Gypsum (in <20 mm fraction),percent mass
gypsum_30_cm_h.tif,gypsum,30_cm,95% high prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_30_cm_l.tif,gypsum,30_cm,95% low prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_30_cm_p.tif,gypsum,30_cm,prediction,10,Gypsum (in <20 mm fraction),percent mass
gypsum_30_cm_rpi.tif,gypsum,30_cm,relative prediction interval,100,Gypsum (in <20 mm fraction),percent mass
gypsum_5_cm_h.tif,gypsum,5_cm,95% high prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_5_cm_l.tif,gypsum,5_cm,95% low prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_5_cm_p.tif,gypsum,5_cm,prediction,10,Gypsum (in <20 mm fraction),percent mass
gypsum_5_cm_rpi.tif,gypsum,5_cm,relative prediction interval,100,Gypsum (in <20 mm fraction),percent mass
gypsum_60_cm_h.tif,gypsum,60_cm,95% high prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_60_cm_l.tif,gypsum,60_cm,95% low prediction interval,10,Gypsum (in <20 mm fraction),percent mass
gypsum_60_cm_p.tif,gypsum,60_cm,prediction,10,Gypsum (in <20 mm fraction),percent mass
gypsum_60_cm_rpi.tif,gypsum,60_cm,relative prediction interval,100,Gypsum (in <20 mm fraction),percent mass
ph1to1h2o_0_cm_h.tif,ph1to1h2o,0_cm,95% high prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_0_cm_l.tif,ph1to1h2o,0_cm,95% low prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_0_cm_p.tif,ph1to1h2o,0_cm,prediction,100,pH (1:1 method),-log10([H+])
ph1to1h2o_0_cm_rpi.tif,ph1to1h2o,0_cm,relative prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_100_cm_h.tif,ph1to1h2o,100_cm,95% high prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_100_cm_l.tif,ph1to1h2o,100_cm,95% low prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_100_cm_p.tif,ph1to1h2o,100_cm,prediction,100,pH (1:1 method),-log10([H+])
ph1to1h2o_100_cm_rpi.tif,ph1to1h2o,100_cm,relative prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_15_cm_h.tif,ph1to1h2o,15_cm,95% high prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_15_cm_l.tif,ph1to1h2o,15_cm,95% low prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_15_cm_p.tif,ph1to1h2o,15_cm,prediction,100,pH (1:1 method),-log10([H+])
ph1to1h2o_15_cm_rpi.tif,ph1to1h2o,15_cm,relative prediction interval,100,pH (1:1 method),-log10([H+])
ph1to1h2o_150_cm_h.tif,ph1to1h2o,150_cm,95% high prediction interval,100,pH (1:1 method),-log10([H+])
